userMediaCount,medLikeNumbers,medCommentNumbers,medHashtagNumbers,medUploadIntervals,medUploadHours,countHasLocationInfo,followerCount,followingCount,hasExternalUrl,tagCounts,biographyLength,usernameLength,isFake
36,63.0,1.0,0.0,18.0,17.0,8,273,404,0,22,0,12,0
38,101.0,3.0,0.0,6.0,13.0,26,1246,1245,0,5,28,5,1
23,79.0,0.0,0.0,5.0,20.0,15,273,217,0,2,40,7,0
119,22.0,0.0,0.0,3.0,17.0,60,546,509,0,34,134,8,0
212,72.5,2.0,0.0,3.0,9.0,20,2423,1374,0,53,144,11,1
573,482.0,3.0,0.0,1.0,16.0,30,4758,3395,1,127,149,11,1
80,977.5,9.5,8.0,6.0,16.0,78,15157,458,0,4,0,15,1
63,27.0,0.0,1.0,11.5,15.0,13,556,713,0,90,0,9,0
69,69.0,1.0,0.0,13.0,15.0,24,536,526,0,208,0,13,0
2,79.0,0.0,3.0,255.0,15.5,1,223,261,0,0,12,9,0
36,229.5,5.0,0.0,18.0,20.0,7,541,581,0,11,0,14,0
71,21.0,0.0,0.0,5.0,17.0,14,152,292,0,4,34,8,0
152,22.0,1.0,5.0,3.0,16.0,48,1145,683,0,32,116,12,1
48,37.5,1.0,3.0,14.0,15.0,41,2131,4278,1,73,116,9,1
9,34.0,2.0,0.0,85.0,14.0,3,199,316,0,19,0,10,0
110,1050.0,10.0,11.0,3.0,16.0,46,3129,1721,1,59,96,12,1
598,67.0,2.0,17.0,2.0,8.0,146,15203,7101,1,50,22,11,1
305,144.0,1.0,20.0,2.0,12.0,0,2157,2982,1,10,39,15,1
36,5.0,0.0,3.0,6.0,17.0,0,57,157,0,0,28,13,0
36,1090.0,26.0,24.0,2.0,12.0,35,1676,4720,1,0,72,11,1
119,98.0,0.0,0.0,5.0,16.0,39,404,389,1,47,69,8,0
34,70.5,1.0,0.0,1.0,14.0,21,784,6620,1,4,148,18,1
3,56.0,3.0,3.0,0.0,0.0,0,467,1394,0,0,0,21,1
55,218.0,4.0,30.0,0.0,12.0,0,3278,2714,0,99,0,9,1
30,88.0,2.0,8.5,0.0,14.5,0,667,4950,0,1,0,8,1
444,85.0,2.0,1.0,1.0,5.0,205,2698,2359,1,26,113,14,1
340,448.5,7.0,29.0,1.0,17.0,0,24453,3157,1,9,125,21,1
19,52.0,1.0,0.0,1.0,9.0,0,1796,688,0,0,41,11,1
100,34.0,0.0,1.0,9.0,17.5,61,441,619,0,29,39,10,0
4,120.5,1.0,1.5,63.0,17.5,3,420,452,0,0,17,12,0
207,89.0,0.0,2.0,2.0,16.0,178,579,789,0,34,119,11,0
303,17.0,0.0,0.0,0.0,17.0,201,884,1100,0,15,92,10,1
90,50.5,0.0,0.0,13.0,19.0,43,487,596,0,40,24,10,0
559,22.0,0.0,0.0,1.0,17.0,193,559,1007,0,52,7,7,0
259,310.0,20.0,30.0,2.0,12.0,243,7099,2259,0,165,94,12,1
4,101.0,0.5,0.0,229.0,22.5,0,341,352,0,0,0,10,0
6,10.5,0.0,0.0,0.0,11.0,0,2400,788,1,0,116,17,1
263,32.0,0.0,3.0,4.0,16.0,138,927,969,0,119,0,13,0
13,34.0,0.0,0.0,34.0,16.0,3,295,263,0,6,0,15,0
1000,13.0,0.0,3.0,0.0,15.0,37,8962,1620,1,65,148,12,1
65,26.0,1.0,4.0,2.0,19.0,3,1014,7129,1,6,140,10,1
63,66.0,1.0,4.0,18.5,17.0,48,340,425,0,87,0,5,0
230,45.0,0.0,2.0,2.0,16.0,98,572,689,0,36,0,10,0
0,0.0,0.0,0.0,3.5,16.0,0,107,150,0,0,0,14,0
376,16.0,1.0,0.0,1.0,13.0,1,1273,567,1,17,86,8,1
250,42.0,0.0,0.0,4.0,16.0,28,460,673,0,164,0,7,0
559,48.0,1.0,28.0,2.0,14.0,157,6442,1496,1,7,67,11,1
1,161.0,3.0,0.0,3.5,20.0,1,362,423,0,10,0,15,0
133,515.0,1.0,0.0,4.0,16.0,126,5711,626,1,80,106,10,1
4,3953.0,217.0,2.5,21.0,14.0,1,6634,6110,0,9,73,13,1
153,58.0,1.0,0.0,4.0,17.0,53,498,1192,0,39,13,13,0
119,73.0,2.0,1.0,10.0,13.0,88,405,407,0,90,23,6,0
150,30.0,0.0,2.0,4.0,16.0,99,344,421,0,29,0,10,0
6,102.5,3.0,1.0,18.0,16.0,3,322,424,0,16,150,14,0
579,871.0,5.0,25.0,1.0,19.0,296,22319,6499,0,135,23,8,1
300,39.0,1.0,0.0,5.0,18.0,85,722,700,0,251,0,12,0
139,54.0,1.0,1.0,1.0,15.0,10,721,561,1,7,0,9,0
1000,129.0,3.0,2.0,1.0,9.0,269,9496,2412,0,91,33,8,1
10,257.5,1.0,1.0,2.0,21.0,7,220,1058,1,0,142,14,1
1000,40.0,0.0,4.0,0.0,10.0,1,26019,5039,1,12,145,9,1
0,0.0,0.0,0.0,3.5,16.0,0,185,189,0,0,0,10,0
1000,11.0,0.0,2.0,1.0,8.0,679,5757,653,0,153,100,9,1
71,34.0,0.0,1.0,9.5,14.0,1,466,417,0,24,0,11,0
40,58.0,0.0,0.0,1.0,15.0,10,326,374,1,0,6,9,0
